#Time (us) ; Current (mA) ; Voltage (V) ; PC ; IRQ 
2684643093 ; 2.05464 ; 3.30482 ; 0 ; 0
2684643253 ; 2.02785 ; 3.30482 ; 0 ; 0
2684643413 ; 2.08386 ; 3.30482 ; 0 ; 0
2684643573 ; 2.02542 ; 3.30482 ; 0 ; 0
2684643733 ; 2.08507 ; 3.30482 ; 0 ; 0
2684643893 ; 1.99255 ; 3.30482 ; 0 ; 0
2684644053 ; 2.05951 ; 3.30482 ; 0 ; 0
2684644213 ; 2.0522 ; 3.30482 ; 0 ; 0
2684644373 ; 2.06803 ; 3.30482 ; 0 ; 0
2684644533 ; 2.0522 ; 3.30482 ; 0 ; 0
2684644693 ; 2.03394 ; 3.30482 ; 0 ; 0
2684644853 ; 2.04003 ; 3.30482 ; 0 ; 0
2684645013 ; 2.02907 ; 3.30482 ; 0 ; 0
2684645173 ; 2.08386 ; 3.30482 ; 0 ; 0
2684645333 ; 2.05585 ; 3.30482 ; 0 ; 0
2684645493 ; 2.0802 ; 3.30482 ; 0 ; 0
2684645653 ; 2.05464 ; 3.30482 ; 0 ; 0
2684645813 ; 2.02542 ; 3.30482 ; 0 ; 0
2684645973 ; 2.07777 ; 3.30482 ; 0 ; 0
2684646133 ; 2.0936 ; 3.30482 ; 0 ; 0
2684646293 ; 2.07777 ; 3.30482 ; 0 ; 0
2684646453 ; 2.04124 ; 3.30482 ; 0 ; 0
2684646613 ; 2.06803 ; 3.30482 ; 0 ; 0
2684646773 ; 2.07412 ; 3.30482 ; 0 ; 0
2684646933 ; 2.06194 ; 3.30482 ; 0 ; 0
2684647093 ; 2.03516 ; 3.30482 ; 0 ; 0
2684647253 ; 2.04733 ; 3.30482 ; 0 ; 0
2684647413 ; 2.04611 ; 3.30482 ; 0 ; 0
2684647573 ; 2.02663 ; 3.30482 ; 0 ; 0
2684647733 ; 2.07777 ; 3.30482 ; 0 ; 0
2684647893 ; 2.06681 ; 3.30482 ; 0 ; 0
2684648053 ; 2.04003 ; 3.30482 ; 0 ; 0
2684648213 ; 2.06438 ; 3.30482 ; 0 ; 0
2684648373 ; 2.04368 ; 3.30482 ; 0 ; 0
2684648533 ; 2.06803 ; 3.30482 ; 0 ; 0
2684648693 ; 2.03881 ; 3.30482 ; 0 ; 0
2684648853 ; 2.05707 ; 3.30482 ; 0 ; 0
2684649013 ; 2.04368 ; 3.30482 ; 0 ; 0
2684649173 ; 2.03637 ; 3.30482 ; 0 ; 0
2684649333 ; 2.08751 ; 3.30482 ; 0 ; 0
2684649493 ; 2.01081 ; 3.30482 ; 0 ; 0
2684649653 ; 2.03759 ; 3.30482 ; 0 ; 0
2684649813 ; 2.05829 ; 3.30482 ; 0 ; 0
2684649973 ; 2.04124 ; 3.30482 ; 0 ; 0
2684650133 ; 2.05464 ; 3.30482 ; 0 ; 0
2684650293 ; 2.05464 ; 3.30482 ; 0 ; 0
2684650453 ; 2.00959 ; 3.30482 ; 0 ; 0
2684650613 ; 2.04003 ; 3.30482 ; 0 ; 0
2684650773 ; 2.08873 ; 3.30482 ; 0 ; 0
2684650933 ; 2.05464 ; 3.30482 ; 0 ; 0
2684651093 ; 2.0449 ; 3.30482 ; 0 ; 0
2684651253 ; 2.03516 ; 3.30482 ; 0 ; 0
2684651413 ; 2.05951 ; 3.30482 ; 0 ; 0
2684651573 ; 2.06316 ; 3.30482 ; 0 ; 0
2684651733 ; 2.06072 ; 3.30482 ; 0 ; 0
2684651893 ; 2.05829 ; 3.30482 ; 0 ; 0
2684652053 ; 2.08507 ; 3.30482 ; 0 ; 0
2684652213 ; 2.04003 ; 3.30482 ; 0 ; 0
2684652373 ; 2.06438 ; 3.30482 ; 0 ; 0
2684652533 ; 2.03029 ; 3.30482 ; 0 ; 0
2684652693 ; 2.05951 ; 3.30482 ; 0 ; 0
2684652853 ; 2.04855 ; 3.30482 ; 0 ; 0
2684653013 ; 2.04003 ; 3.30482 ; 0 ; 0
2684653173 ; 2.04003 ; 3.30482 ; 0 ; 0
2684653333 ; 2.05098 ; 3.30482 ; 0 ; 0
2684653493 ; 2.07533 ; 3.30482 ; 0 ; 0
2684653653 ; 2.09238 ; 3.30482 ; 0 ; 0
2684653813 ; 2.03516 ; 3.30482 ; 0 ; 0
2684653973 ; 2.03272 ; 3.30482 ; 0 ; 0
2684654133 ; 2.0802 ; 3.30482 ; 0 ; 0
2684654293 ; 2.04003 ; 3.30482 ; 0 ; 0
2684654453 ; 2.07168 ; 3.30482 ; 0 ; 0
