#Time (us) ; Current (mA) ; Voltage (V) ; PC ; IRQ 
515288853 ; 2.17695 ; 3.29575 ; 0 ; 0
515289013 ; 2.18913 ; 3.29575 ; 0 ; 0
515289173 ; 2.16234 ; 3.29575 ; 0 ; 0
515289333 ; 2.17452 ; 3.29575 ; 0 ; 0
515289493 ; 2.15261 ; 3.29575 ; 0 ; 0
515289653 ; 2.16843 ; 3.29575 ; 0 ; 0
515289813 ; 2.16721 ; 3.29575 ; 0 ; 0
515289973 ; 2.20496 ; 3.29575 ; 0 ; 0
515290133 ; 2.15017 ; 3.29575 ; 0 ; 0
515290293 ; 2.17939 ; 3.29575 ; 0 ; 0
515290453 ; 2.194 ; 3.29575 ; 0 ; 0
515290613 ; 2.1733 ; 3.29575 ; 0 ; 0
515290773 ; 2.21348 ; 3.29575 ; 0 ; 0
515290933 ; 2.13678 ; 3.29575 ; 0 ; 0
515291093 ; 2.19035 ; 3.29575 ; 0 ; 0
515291253 ; 2.16843 ; 3.29575 ; 0 ; 0
515291413 ; 2.16234 ; 3.29575 ; 0 ; 0
515291573 ; 2.18061 ; 3.29575 ; 0 ; 0
515291733 ; 2.15017 ; 3.29575 ; 0 ; 0
515291893 ; 2.17817 ; 3.29575 ; 0 ; 0
515292053 ; 2.17452 ; 3.29575 ; 0 ; 0
515292213 ; 2.17574 ; 3.29575 ; 0 ; 0
515292373 ; 2.20374 ; 3.29575 ; 0 ; 0
515292533 ; 2.12826 ; 3.29575 ; 0 ; 0
515292693 ; 2.20374 ; 3.29575 ; 0 ; 0
515292853 ; 2.17208 ; 3.29575 ; 0 ; 0
515293013 ; 2.19887 ; 3.29575 ; 0 ; 0
515293173 ; 2.17087 ; 3.29575 ; 0 ; 0
515293333 ; 2.16721 ; 3.29575 ; 0 ; 0
515293493 ; 2.194 ; 3.29575 ; 0 ; 0
515293653 ; 2.15382 ; 3.29575 ; 0 ; 0
515293813 ; 2.17817 ; 3.29575 ; 0 ; 0
515293973 ; 2.15017 ; 3.29575 ; 0 ; 0
515294133 ; 2.18548 ; 3.29575 ; 0 ; 0
515294293 ; 2.16234 ; 3.29575 ; 0 ; 0
515294453 ; 2.17939 ; 3.29575 ; 0 ; 0
515294613 ; 2.18304 ; 3.29575 ; 0 ; 0
515294773 ; 2.194 ; 3.29575 ; 0 ; 0
515294933 ; 2.166 ; 3.29575 ; 0 ; 0
515295093 ; 2.15382 ; 3.29575 ; 0 ; 0
515295253 ; 2.20739 ; 3.29575 ; 0 ; 0
515295413 ; 2.19156 ; 3.29575 ; 0 ; 0
515295573 ; 2.18791 ; 3.29575 ; 0 ; 0
515295733 ; 2.16356 ; 3.29575 ; 0 ; 0
515295893 ; 2.18182 ; 3.29575 ; 0 ; 0
515296053 ; 2.18426 ; 3.29575 ; 0 ; 0
515296213 ; 2.18913 ; 3.29575 ; 0 ; 0
515296373 ; 2.20374 ; 3.29575 ; 0 ; 0
515296533 ; 2.1733 ; 3.29575 ; 0 ; 0
515296693 ; 2.15869 ; 3.29575 ; 0 ; 0
515296853 ; 2.17939 ; 3.29575 ; 0 ; 0
515297013 ; 2.18791 ; 3.29575 ; 0 ; 0
515297173 ; 2.16356 ; 3.29575 ; 0 ; 0
515297333 ; 2.14043 ; 3.29575 ; 0 ; 0
515297493 ; 2.2013 ; 3.29575 ; 0 ; 0
515297653 ; 2.17817 ; 3.29575 ; 0 ; 0
515297813 ; 2.19278 ; 3.29575 ; 0 ; 0
515297973 ; 2.1733 ; 3.29575 ; 0 ; 0
515298133 ; 2.17574 ; 3.29575 ; 0 ; 0
515298293 ; 2.16478 ; 3.29575 ; 0 ; 0
515298453 ; 2.20374 ; 3.29575 ; 0 ; 0
515298613 ; 2.20252 ; 3.29575 ; 0 ; 0
515298773 ; 2.17087 ; 3.29575 ; 0 ; 0
515298933 ; 2.18548 ; 3.29575 ; 0 ; 0
515299093 ; 2.17208 ; 3.29575 ; 0 ; 0
515299253 ; 2.16113 ; 3.29575 ; 0 ; 0
515299413 ; 2.194 ; 3.29575 ; 0 ; 0
515299573 ; 2.17452 ; 3.29575 ; 0 ; 0
515299733 ; 2.18669 ; 3.29575 ; 0 ; 0
515299893 ; 2.166 ; 3.29575 ; 0 ; 0
515300053 ; 2.15748 ; 3.29575 ; 0 ; 0
515300213 ; 2.18182 ; 3.29575 ; 0 ; 0
515300373 ; 2.19035 ; 3.29575 ; 0 ; 0
