#Time (us) ; Current (mA) ; Voltage (V) ; PC ; IRQ 
3836223253 ; 2.25917 ; 3.3046 ; 0 ; 0
3836223413 ; 2.18612 ; 3.3046 ; 0 ; 0
3836223573 ; 2.24456 ; 3.3046 ; 0 ; 0
3836223733 ; 2.21534 ; 3.3046 ; 0 ; 0
3836223893 ; 2.22143 ; 3.3046 ; 0 ; 0
3836224053 ; 2.20925 ; 3.3046 ; 0 ; 0
3836224213 ; 2.22752 ; 3.3046 ; 0 ; 0
3836224373 ; 2.21412 ; 3.3046 ; 0 ; 0
3836224533 ; 2.24456 ; 3.3046 ; 0 ; 0
3836224693 ; 2.21169 ; 3.3046 ; 0 ; 0
3836224853 ; 2.22265 ; 3.3046 ; 0 ; 0
3836225013 ; 2.25065 ; 3.3046 ; 0 ; 0
3836225173 ; 2.20682 ; 3.3046 ; 0 ; 0
3836225333 ; 2.20804 ; 3.3046 ; 0 ; 0
3836225493 ; 2.23726 ; 3.3046 ; 0 ; 0
3836225653 ; 2.22143 ; 3.3046 ; 0 ; 0
3836225813 ; 2.22265 ; 3.3046 ; 0 ; 0
3836225973 ; 2.20804 ; 3.3046 ; 0 ; 0
3836226133 ; 2.2336 ; 3.3046 ; 0 ; 0
3836226293 ; 2.24456 ; 3.3046 ; 0 ; 0
3836226453 ; 2.21291 ; 3.3046 ; 0 ; 0
3836226613 ; 2.22386 ; 3.3046 ; 0 ; 0
3836226773 ; 2.22386 ; 3.3046 ; 0 ; 0
3836226933 ; 2.22265 ; 3.3046 ; 0 ; 0
3836227093 ; 2.23969 ; 3.3046 ; 0 ; 0
3836227253 ; 2.20317 ; 3.3046 ; 0 ; 0
3836227413 ; 2.24212 ; 3.3046 ; 0 ; 0
3836227573 ; 2.22995 ; 3.3046 ; 0 ; 0
3836227733 ; 2.23604 ; 3.3046 ; 0 ; 0
3836227893 ; 2.22873 ; 3.3046 ; 0 ; 0
3836228053 ; 2.24456 ; 3.3046 ; 0 ; 0
3836228213 ; 2.22143 ; 3.3046 ; 0 ; 0
3836228373 ; 2.24578 ; 3.3046 ; 0 ; 0
3836228533 ; 2.20925 ; 3.3046 ; 0 ; 0
3836228693 ; 2.24456 ; 3.3046 ; 0 ; 0
3836228853 ; 2.2336 ; 3.3046 ; 0 ; 0
3836229013 ; 2.25795 ; 3.3046 ; 0 ; 0
3836229173 ; 2.22508 ; 3.3046 ; 0 ; 0
3836229333 ; 2.22752 ; 3.3046 ; 0 ; 0
3836229493 ; 2.23604 ; 3.3046 ; 0 ; 0
3836229653 ; 2.24091 ; 3.3046 ; 0 ; 0
3836229813 ; 2.22265 ; 3.3046 ; 0 ; 0
3836229973 ; 2.22143 ; 3.3046 ; 0 ; 0
3836230133 ; 2.23604 ; 3.3046 ; 0 ; 0
3836230293 ; 2.24212 ; 3.3046 ; 0 ; 0
3836230453 ; 2.22508 ; 3.3046 ; 0 ; 0
3836230613 ; 2.23726 ; 3.3046 ; 0 ; 0
3836230773 ; 2.23239 ; 3.3046 ; 0 ; 0
3836230933 ; 2.1983 ; 3.3046 ; 0 ; 0
3836231093 ; 2.25552 ; 3.3046 ; 0 ; 0
3836231253 ; 2.21534 ; 3.3046 ; 0 ; 0
3836231413 ; 2.23239 ; 3.3046 ; 0 ; 0
3836231573 ; 2.22752 ; 3.3046 ; 0 ; 0
3836231733 ; 2.23847 ; 3.3046 ; 0 ; 0
3836231893 ; 2.23969 ; 3.3046 ; 0 ; 0
3836232053 ; 2.25065 ; 3.3046 ; 0 ; 0
3836232213 ; 2.21778 ; 3.3046 ; 0 ; 0
3836232373 ; 2.2336 ; 3.3046 ; 0 ; 0
3836232533 ; 2.22265 ; 3.3046 ; 0 ; 0
3836232693 ; 2.24578 ; 3.3046 ; 0 ; 0
3836232853 ; 2.24821 ; 3.3046 ; 0 ; 0
3836233013 ; 2.22265 ; 3.3046 ; 0 ; 0
3836233173 ; 2.24334 ; 3.3046 ; 0 ; 0
3836233333 ; 2.22021 ; 3.3046 ; 0 ; 0
