#Time (us) ; Current (mA) ; Voltage (V) ; PC ; IRQ 
2781646613 ; 2.0035 ; 3.30582 ; 0 ; 0
2781646773 ; 2.01324 ; 3.30582 ; 0 ; 0
2781646933 ; 2.02055 ; 3.30582 ; 0 ; 0
2781647093 ; 2.03881 ; 3.30582 ; 0 ; 0
2781647253 ; 1.99498 ; 3.30582 ; 0 ; 0
2781647413 ; 2.00716 ; 3.30582 ; 0 ; 0
2781647573 ; 2.03516 ; 3.30582 ; 0 ; 0
2781647733 ; 2.04855 ; 3.30582 ; 0 ; 0
2781647893 ; 2.02785 ; 3.30582 ; 0 ; 0
2781648053 ; 2.00229 ; 3.30582 ; 0 ; 0
2781648213 ; 2.02055 ; 3.30582 ; 0 ; 0
2781648373 ; 2.03516 ; 3.30582 ; 0 ; 0
2781648533 ; 2.04368 ; 3.30582 ; 0 ; 0
2781648693 ; 2.01568 ; 3.30582 ; 0 ; 0
2781648853 ; 2.01811 ; 3.30582 ; 0 ; 0
2781649013 ; 1.99255 ; 3.30582 ; 0 ; 0
2781649173 ; 2.01811 ; 3.30582 ; 0 ; 0
2781649333 ; 2.0315 ; 3.30582 ; 0 ; 0
2781649493 ; 2.04003 ; 3.30582 ; 0 ; 0
2781649653 ; 2.02542 ; 3.30582 ; 0 ; 0
2781649813 ; 2.00837 ; 3.30582 ; 0 ; 0
2781649973 ; 2.00107 ; 3.30582 ; 0 ; 0
2781650133 ; 2.04611 ; 3.30582 ; 0 ; 0
2781650293 ; 2.04368 ; 3.30582 ; 0 ; 0
2781650453 ; 2.01446 ; 3.30582 ; 0 ; 0
2781650613 ; 2.02785 ; 3.30582 ; 0 ; 0
2781650773 ; 2.01203 ; 3.30582 ; 0 ; 0
2781650933 ; 2.04368 ; 3.30582 ; 0 ; 0
2781651093 ; 2.03637 ; 3.30582 ; 0 ; 0
2781651253 ; 1.99742 ; 3.30582 ; 0 ; 0
2781651413 ; 1.98889 ; 3.30582 ; 0 ; 0
