#Time (us) ; Current (mA) ; Voltage (V) ; PC ; IRQ 
3910258453 ; 2.09725 ; 3.3049 ; 0 ; 0
3910258613 ; 2.1009 ; 3.3049 ; 0 ; 0
3910258773 ; 2.12647 ; 3.3049 ; 0 ; 0
3910258933 ; 2.13499 ; 3.3049 ; 0 ; 0
3910259093 ; 2.14716 ; 3.3049 ; 0 ; 0
3910259253 ; 2.08629 ; 3.3049 ; 0 ; 0
3910259413 ; 2.10333 ; 3.3049 ; 0 ; 0
3910259573 ; 2.12281 ; 3.3049 ; 0 ; 0
3910259733 ; 2.13499 ; 3.3049 ; 0 ; 0
3910259893 ; 2.13377 ; 3.3049 ; 0 ; 0
3910260053 ; 2.08994 ; 3.3049 ; 0 ; 0
3910260213 ; 2.1216 ; 3.3049 ; 0 ; 0
3910260373 ; 2.13012 ; 3.3049 ; 0 ; 0
3910260533 ; 2.14229 ; 3.3049 ; 0 ; 0
3910260693 ; 2.12038 ; 3.3049 ; 0 ; 0
3910260853 ; 2.11551 ; 3.3049 ; 0 ; 0
3910261013 ; 2.12768 ; 3.3049 ; 0 ; 0
3910261173 ; 2.13134 ; 3.3049 ; 0 ; 0
3910261333 ; 2.13621 ; 3.3049 ; 0 ; 0
3910261493 ; 2.14595 ; 3.3049 ; 0 ; 0
3910261653 ; 2.13499 ; 3.3049 ; 0 ; 0
3910261813 ; 2.12281 ; 3.3049 ; 0 ; 0
3910261973 ; 2.11551 ; 3.3049 ; 0 ; 0
3910262133 ; 2.15082 ; 3.3049 ; 0 ; 0
3910262293 ; 2.15082 ; 3.3049 ; 0 ; 0
3910262453 ; 2.11186 ; 3.3049 ; 0 ; 0
3910262613 ; 2.14229 ; 3.3049 ; 0 ; 0
3910262773 ; 2.11916 ; 3.3049 ; 0 ; 0
3910262933 ; 2.15203 ; 3.3049 ; 0 ; 0
3910263093 ; 2.10333 ; 3.3049 ; 0 ; 0
3910263253 ; 2.11429 ; 3.3049 ; 0 ; 0
3910263413 ; 2.13742 ; 3.3049 ; 0 ; 0
3910263573 ; 2.13499 ; 3.3049 ; 0 ; 0
3910263733 ; 2.14108 ; 3.3049 ; 0 ; 0
3910263893 ; 2.13255 ; 3.3049 ; 0 ; 0
3910264053 ; 2.12038 ; 3.3049 ; 0 ; 0
3910264213 ; 2.10942 ; 3.3049 ; 0 ; 0
3910264373 ; 2.09603 ; 3.3049 ; 0 ; 0
3910264533 ; 2.14716 ; 3.3049 ; 0 ; 0
3910264693 ; 2.13742 ; 3.3049 ; 0 ; 0
3910264853 ; 2.13012 ; 3.3049 ; 0 ; 0
3910265013 ; 2.13134 ; 3.3049 ; 0 ; 0
3910265173 ; 2.13134 ; 3.3049 ; 0 ; 0
3910265333 ; 2.15203 ; 3.3049 ; 0 ; 0
3910265493 ; 2.12281 ; 3.3049 ; 0 ; 0
3910265653 ; 2.11916 ; 3.3049 ; 0 ; 0
3910265813 ; 2.09238 ; 3.3049 ; 0 ; 0
3910265973 ; 2.1009 ; 3.3049 ; 0 ; 0
3910266133 ; 2.12403 ; 3.3049 ; 0 ; 0
3910266293 ; 2.11429 ; 3.3049 ; 0 ; 0
3910266453 ; 2.13986 ; 3.3049 ; 0 ; 0
3910266613 ; 2.09725 ; 3.3049 ; 0 ; 0
3910266773 ; 2.09968 ; 3.3049 ; 0 ; 0
3910266933 ; 2.13986 ; 3.3049 ; 0 ; 0
3910267093 ; 2.1216 ; 3.3049 ; 0 ; 0
3910267253 ; 2.13255 ; 3.3049 ; 0 ; 0
3910267413 ; 2.1009 ; 3.3049 ; 0 ; 0
3910267573 ; 2.1289 ; 3.3049 ; 0 ; 0
3910267733 ; 2.13864 ; 3.3049 ; 0 ; 0
3910267893 ; 2.13134 ; 3.3049 ; 0 ; 0
3910268053 ; 2.13621 ; 3.3049 ; 0 ; 0
3910268213 ; 2.11673 ; 3.3049 ; 0 ; 0
3910268373 ; 2.13621 ; 3.3049 ; 0 ; 0
3910268533 ; 2.08994 ; 3.3049 ; 0 ; 0
3910268693 ; 2.13621 ; 3.3049 ; 0 ; 0
3910268853 ; 2.12525 ; 3.3049 ; 0 ; 0
3910269013 ; 2.11916 ; 3.3049 ; 0 ; 0
3910269173 ; 2.11916 ; 3.3049 ; 0 ; 0
3910269333 ; 2.1009 ; 3.3049 ; 0 ; 0
3910269493 ; 2.12281 ; 3.3049 ; 0 ; 0
3910269653 ; 2.13986 ; 3.3049 ; 0 ; 0
3910269813 ; 2.10212 ; 3.3049 ; 0 ; 0
3910269973 ; 2.11916 ; 3.3049 ; 0 ; 0
3910270133 ; 2.12768 ; 3.3049 ; 0 ; 0
3910270293 ; 2.13864 ; 3.3049 ; 0 ; 0
3910270453 ; 2.11429 ; 3.3049 ; 0 ; 0
3910270613 ; 2.11307 ; 3.3049 ; 0 ; 0
3910270773 ; 2.12403 ; 3.3049 ; 0 ; 0
3910270933 ; 2.10577 ; 3.3049 ; 0 ; 0
3910271093 ; 2.11307 ; 3.3049 ; 0 ; 0
3910271253 ; 2.14351 ; 3.3049 ; 0 ; 0
