#Time (us) ; Current (mA) ; Voltage (V) ; PC ; IRQ 
3530282773 ; 2.10699 ; 3.30467 ; 0 ; 0
3530282933 ; 1.96211 ; 3.30467 ; 0 ; 0
3530283093 ; 2.0802 ; 3.30467 ; 0 ; 0
3530283253 ; 1.98768 ; 3.30467 ; 0 ; 0
3530283413 ; 2.0802 ; 3.30467 ; 0 ; 0
3530283573 ; 2.0035 ; 3.30467 ; 0 ; 0
3530283733 ; 2.04124 ; 3.30467 ; 0 ; 0
3530283893 ; 2.03272 ; 3.30467 ; 0 ; 0
3530284053 ; 2.02298 ; 3.30467 ; 0 ; 0
3530284213 ; 2.01933 ; 3.30467 ; 0 ; 0
3530284373 ; 2.00837 ; 3.30467 ; 0 ; 0
3530284533 ; 2.03516 ; 3.30467 ; 0 ; 0
3530284693 ; 2.01933 ; 3.30467 ; 0 ; 0
3530284853 ; 2.05829 ; 3.30467 ; 0 ; 0
3530285013 ; 2.01081 ; 3.30467 ; 0 ; 0
3530285173 ; 2.05098 ; 3.30467 ; 0 ; 0
3530285333 ; 1.99863 ; 3.30467 ; 0 ; 0
3530285493 ; 2.07655 ; 3.30467 ; 0 ; 0
3530285653 ; 1.98281 ; 3.30467 ; 0 ; 0
3530285813 ; 2.07533 ; 3.30467 ; 0 ; 0
3530285973 ; 1.97915 ; 3.30467 ; 0 ; 0
3530286133 ; 2.0802 ; 3.30467 ; 0 ; 0
3530286293 ; 1.98524 ; 3.30467 ; 0 ; 0
3530286453 ; 2.05342 ; 3.30467 ; 0 ; 0
3530286613 ; 1.94263 ; 3.30467 ; 0 ; 0
3530286773 ; 2.08507 ; 3.30467 ; 0 ; 0
3530286933 ; 1.97307 ; 3.30467 ; 0 ; 0
3530287093 ; 2.06803 ; 3.30467 ; 0 ; 0
3530287253 ; 1.94507 ; 3.30467 ; 0 ; 0
3530287413 ; 2.0802 ; 3.30467 ; 0 ; 0
3530287573 ; 1.98037 ; 3.30467 ; 0 ; 0
3530287733 ; 2.0936 ; 3.30467 ; 0 ; 0
3530287893 ; 1.95846 ; 3.30467 ; 0 ; 0
3530288053 ; 2.07899 ; 3.30467 ; 0 ; 0
3530288213 ; 1.98281 ; 3.30467 ; 0 ; 0
3530288373 ; 2.07777 ; 3.30467 ; 0 ; 0
3530288533 ; 1.97428 ; 3.30467 ; 0 ; 0
3530288693 ; 2.06072 ; 3.30467 ; 0 ; 0
3530288853 ; 1.96941 ; 3.30467 ; 0 ; 0
3530289013 ; 2.05585 ; 3.30467 ; 0 ; 0
3530289173 ; 1.95115 ; 3.30467 ; 0 ; 0
3530289333 ; 2.05951 ; 3.30467 ; 0 ; 0
3530289493 ; 1.97915 ; 3.30467 ; 0 ; 0
3530289653 ; 2.07777 ; 3.30467 ; 0 ; 0
3530289813 ; 1.97794 ; 3.30467 ; 0 ; 0
3530289973 ; 2.04855 ; 3.30467 ; 0 ; 0
3530290133 ; 2.00472 ; 3.30467 ; 0 ; 0
3530290293 ; 2.03516 ; 3.30467 ; 0 ; 0
