#Time (us) ; Current (mA) ; Voltage (V) ; PC ; IRQ 
2990639893 ; 2.03637 ; 3.30467 ; 0 ; 0
2990640053 ; 2.00959 ; 3.30467 ; 0 ; 0
2990640213 ; 2.02542 ; 3.30467 ; 0 ; 0
2990640373 ; 2.02907 ; 3.30467 ; 0 ; 0
2990640533 ; 2.01081 ; 3.30467 ; 0 ; 0
2990640693 ; 2.05951 ; 3.30467 ; 0 ; 0
2990640853 ; 2.0169 ; 3.30467 ; 0 ; 0
2990641013 ; 2.02907 ; 3.30467 ; 0 ; 0
2990641173 ; 1.99985 ; 3.30467 ; 0 ; 0
2990641333 ; 2.0315 ; 3.30467 ; 0 ; 0
2990641493 ; 2.01933 ; 3.30467 ; 0 ; 0
2990641653 ; 2.02055 ; 3.30467 ; 0 ; 0
2990641813 ; 1.99498 ; 3.30467 ; 0 ; 0
2990641973 ; 2.00229 ; 3.30467 ; 0 ; 0
2990642133 ; 2.01568 ; 3.30467 ; 0 ; 0
2990642293 ; 2.0315 ; 3.30467 ; 0 ; 0
2990642453 ; 2.01568 ; 3.30467 ; 0 ; 0
2990642613 ; 1.99498 ; 3.30467 ; 0 ; 0
2990642773 ; 1.99133 ; 3.30467 ; 0 ; 0
2990642933 ; 2.04855 ; 3.30467 ; 0 ; 0
2990643093 ; 2.0315 ; 3.30467 ; 0 ; 0
2990643253 ; 2.03881 ; 3.30467 ; 0 ; 0
2990643413 ; 1.98646 ; 3.30467 ; 0 ; 0
2990643573 ; 2.03272 ; 3.30467 ; 0 ; 0
2990643733 ; 2.02785 ; 3.30467 ; 0 ; 0
2990643893 ; 2.03759 ; 3.30467 ; 0 ; 0
2990644053 ; 2.02542 ; 3.30467 ; 0 ; 0
2990644213 ; 2.01568 ; 3.30467 ; 0 ; 0
2990644373 ; 1.99498 ; 3.30467 ; 0 ; 0
2990644533 ; 2.02177 ; 3.30467 ; 0 ; 0
2990644693 ; 2.04977 ; 3.30467 ; 0 ; 0
2990644853 ; 1.98281 ; 3.30467 ; 0 ; 0
2990645013 ; 2.05098 ; 3.30467 ; 0 ; 0
2990645173 ; 1.97794 ; 3.30467 ; 0 ; 0
2990645333 ; 2.0449 ; 3.30467 ; 0 ; 0
2990645493 ; 2.01081 ; 3.30467 ; 0 ; 0
2990645653 ; 2.02055 ; 3.30467 ; 0 ; 0
2990645813 ; 2.01933 ; 3.30467 ; 0 ; 0
2990645973 ; 2.04246 ; 3.30467 ; 0 ; 0
2990646133 ; 1.97794 ; 3.30467 ; 0 ; 0
2990646293 ; 2.02785 ; 3.30467 ; 0 ; 0
2990646453 ; 2.03516 ; 3.30467 ; 0 ; 0
2990646613 ; 2.01446 ; 3.30467 ; 0 ; 0
2990646773 ; 2.01203 ; 3.30467 ; 0 ; 0
2990646933 ; 2.01811 ; 3.30467 ; 0 ; 0
2990647093 ; 2.03881 ; 3.30467 ; 0 ; 0
2990647253 ; 2.0035 ; 3.30467 ; 0 ; 0
2990647413 ; 2.02298 ; 3.30467 ; 0 ; 0
2990647573 ; 2.00837 ; 3.30467 ; 0 ; 0
2990647733 ; 2.02785 ; 3.30467 ; 0 ; 0
2990647893 ; 2.03029 ; 3.30467 ; 0 ; 0
2990648053 ; 1.9962 ; 3.30467 ; 0 ; 0
2990648213 ; 2.03881 ; 3.30467 ; 0 ; 0
2990648373 ; 1.99255 ; 3.30467 ; 0 ; 0
2990648533 ; 2.04855 ; 3.30467 ; 0 ; 0
2990648693 ; 2.01933 ; 3.30467 ; 0 ; 0
2990648853 ; 2.02785 ; 3.30467 ; 0 ; 0
2990649013 ; 2.00229 ; 3.30467 ; 0 ; 0
2990649173 ; 2.0242 ; 3.30467 ; 0 ; 0
2990649333 ; 2.00837 ; 3.30467 ; 0 ; 0
2990649493 ; 2.0315 ; 3.30467 ; 0 ; 0
2990649653 ; 2.00472 ; 3.30467 ; 0 ; 0
2990649813 ; 2.00716 ; 3.30467 ; 0 ; 0
2990649973 ; 2.0035 ; 3.30467 ; 0 ; 0
2990650133 ; 2.02663 ; 3.30467 ; 0 ; 0
2990650293 ; 2.01933 ; 3.30467 ; 0 ; 0
2990650453 ; 2.01446 ; 3.30467 ; 0 ; 0
2990650613 ; 1.99863 ; 3.30467 ; 0 ; 0
2990650773 ; 2.02907 ; 3.30467 ; 0 ; 0
2990650933 ; 2.01324 ; 3.30467 ; 0 ; 0
2990651093 ; 2.03881 ; 3.30467 ; 0 ; 0
2990651253 ; 2.0242 ; 3.30467 ; 0 ; 0
2990651413 ; 2.00959 ; 3.30467 ; 0 ; 0
2990651573 ; 2.00959 ; 3.30467 ; 0 ; 0
2990651733 ; 2.03637 ; 3.30467 ; 0 ; 0
2990651893 ; 2.02907 ; 3.30467 ; 0 ; 0
2990652053 ; 2.00594 ; 3.30467 ; 0 ; 0
2990652213 ; 2.03394 ; 3.30467 ; 0 ; 0
2990652373 ; 1.98402 ; 3.30467 ; 0 ; 0
2990652533 ; 2.04124 ; 3.30467 ; 0 ; 0
2990652693 ; 2.01811 ; 3.30467 ; 0 ; 0
2990652853 ; 2.01811 ; 3.30467 ; 0 ; 0
2990653013 ; 1.99498 ; 3.30467 ; 0 ; 0
2990653173 ; 2.03516 ; 3.30467 ; 0 ; 0
2990653333 ; 1.9962 ; 3.30467 ; 0 ; 0
2990653493 ; 2.06438 ; 3.30467 ; 0 ; 0
2990653653 ; 1.98037 ; 3.30467 ; 0 ; 0
2990653813 ; 2.01081 ; 3.30467 ; 0 ; 0
2990653973 ; 2.02907 ; 3.30467 ; 0 ; 0
2990654133 ; 2.0242 ; 3.30467 ; 0 ; 0
2990654293 ; 2.0242 ; 3.30467 ; 0 ; 0
2990654453 ; 2.00959 ; 3.30467 ; 0 ; 0
2990654613 ; 2.02298 ; 3.30467 ; 0 ; 0
2990654773 ; 2.00959 ; 3.30467 ; 0 ; 0
2990654933 ; 2.0315 ; 3.30467 ; 0 ; 0
2990655093 ; 2.01081 ; 3.30467 ; 0 ; 0
2990655253 ; 2.0169 ; 3.30467 ; 0 ; 0
2990655413 ; 2.01446 ; 3.30467 ; 0 ; 0
2990655573 ; 1.98524 ; 3.30467 ; 0 ; 0
2990655733 ; 2.01811 ; 3.30467 ; 0 ; 0
2990655893 ; 2.0169 ; 3.30467 ; 0 ; 0
2990656053 ; 2.02663 ; 3.30467 ; 0 ; 0
2990656213 ; 2.00229 ; 3.30467 ; 0 ; 0
2990656373 ; 2.00837 ; 3.30467 ; 0 ; 0
2990656533 ; 2.0242 ; 3.30467 ; 0 ; 0
2990656693 ; 2.02542 ; 3.30467 ; 0 ; 0
2990656853 ; 2.02542 ; 3.30467 ; 0 ; 0
2990657013 ; 1.98402 ; 3.30467 ; 0 ; 0
2990657173 ; 1.99985 ; 3.30467 ; 0 ; 0
2990657333 ; 2.0449 ; 3.30467 ; 0 ; 0
2990657493 ; 2.01811 ; 3.30467 ; 0 ; 0
2990657653 ; 2.02785 ; 3.30467 ; 0 ; 0
2990657813 ; 2.02663 ; 3.30467 ; 0 ; 0
2990657973 ; 1.99255 ; 3.30467 ; 0 ; 0
2990658133 ; 2.0449 ; 3.30467 ; 0 ; 0
2990658293 ; 2.01568 ; 3.30467 ; 0 ; 0
2990658453 ; 2.04368 ; 3.30467 ; 0 ; 0
2990658613 ; 2.01933 ; 3.30467 ; 0 ; 0
2990658773 ; 2.00472 ; 3.30467 ; 0 ; 0
2990658933 ; 2.00959 ; 3.30467 ; 0 ; 0
2990659093 ; 2.02542 ; 3.30467 ; 0 ; 0
2990659253 ; 1.9962 ; 3.30467 ; 0 ; 0
2990659413 ; 2.01811 ; 3.30467 ; 0 ; 0
2990659573 ; 2.01811 ; 3.30467 ; 0 ; 0
2990659733 ; 2.02177 ; 3.30467 ; 0 ; 0
2990659893 ; 2.01811 ; 3.30467 ; 0 ; 0
2990660053 ; 1.99133 ; 3.30467 ; 0 ; 0
2990660213 ; 2.00107 ; 3.30467 ; 0 ; 0
2990660373 ; 2.01446 ; 3.30467 ; 0 ; 0
2990660533 ; 2.03029 ; 3.30467 ; 0 ; 0
2990660693 ; 2.02663 ; 3.30467 ; 0 ; 0
2990660853 ; 1.98768 ; 3.30467 ; 0 ; 0
2990661013 ; 2.0242 ; 3.30467 ; 0 ; 0
2990661173 ; 2.00959 ; 3.30467 ; 0 ; 0
2990661333 ; 2.01446 ; 3.30467 ; 0 ; 0
2990661493 ; 2.02542 ; 3.30467 ; 0 ; 0
2990661653 ; 1.99863 ; 3.30467 ; 0 ; 0
2990661813 ; 2.02785 ; 3.30467 ; 0 ; 0
2990661973 ; 2.01446 ; 3.30467 ; 0 ; 0
2990662133 ; 2.03759 ; 3.30467 ; 0 ; 0
2990662293 ; 1.98402 ; 3.30467 ; 0 ; 0
2990662453 ; 2.04124 ; 3.30467 ; 0 ; 0
2990662613 ; 1.99742 ; 3.30467 ; 0 ; 0
2990662773 ; 2.05098 ; 3.30467 ; 0 ; 0
2990662933 ; 2.00594 ; 3.30467 ; 0 ; 0
